"city";"street";"house";"floor"
"Альметьевск";"Суворова, улица";63;3
"Белорецк";"Новая улица";111;4
"Балахна";"Академика Верещагина, площадь";115;1
"Арзамас";"Академическая улица";175;2
"Бузулук";"3-й Богородский переулок";102;1
"Владивосток";"Бутовское Кольцо, улица";190;1
"Братск";"Чехова, улица";25;5
"Братск";"Театральная улица";31;4
"Альметьевск";"Рождественский переулок";142;5
"Бор";"Цветочная улица";77;1
"Буденновск";"Академическая улица";171;2
"Верхняя Пышма";"Рабочая улица";152;2
"Березники";"1-я Рыбацкая улица";161;3
"Альметьевск";"Водопроводная улица";106;3
"Боровичи";"Фруктовая улица";38;4
"Великий Новгород";"Озёрная улица";193;5
"Артем";"Весенняя улица";46;5
"Балашиха";"Речная улица";101;2
"Армавир";"Озёрная улица";95;1
"Биробиджан";"Кооперативная улица";101;1
"Абакан";"Котовского, улица";17;5
"Буйнакск";"Лесхозная улица";171;5
"Армавир";"2-я Мичуринская улица";93;2
"Бийск";"Нижняя улица";48;1
"Александров";"Урожайная улица";10;4
"Астрахань";"1-я Валуевская улица";82;4
"Благовещенск";"Изумрудная улица";66;2
"Буйнакск";"Парковый переулок";80;2
"Бузулук";"Авиаторов, улица";64;1
"Белорецк";"Изумрудная улица";70;2
"Бийск";"Западная улица";149;3
"Абакан";"3-я Рыбацкая улица";188;4
"Бор";"Мичурина, улица";163;1
"Анжеро-Судженск";"Подмосковные вечера, улица";176;1
"Анжеро-Судженск";"Мичурина, улица";182;4
"Белогорск";"4-й Заречный переулок";30;4
"Березовский";"1-я Мичуринская улица";122;2
"Арзамас";"Речная улица";58;5
"Алексин";"Суворова, улица";153;1
"Арзамас";"Сиреневая улица";55;2
"Благовещенск";"Рыбацкий переулок";56;5
"Балашиха";"Барыши, местечко";17;1
"Благовещенск";"Лесхозная улица";91;3
"Бузулук";"1-й Терновый переулок";131;3
"Абакан";"Ягодная улица";159;2
"Арзамас";"Пионерская улица";109;4
"Буйнакск";"Зелёная улица";35;1
"Владивосток";"Кутузова, улица";52;4
"Верхняя Пышма";"Октябрьский проспект";119;2
"Братск";"Бутовское Кольцо, улица";70;3
"Ангарск";"Флотская улица";162;2
"Белебей";"Почтовая улица";174;4
"Братск";"4-я Валуевская улица";100;1
"Верхняя Пышма";"Западная улица";132;1
"Буденновск";"Евгения Родионова, улица";18;2
"Братск";"Озёрная улица";146;3
"Альметьевск";"Маршала Кутахова, улица";147;2
"Бийск";"Изумрудная улица";95;2
"Белореченск";"2-я Изумрудная улица";40;5
"Бугульма";"2-я Научная улица";192;1
"Балахна";"2-я Пионерская, улица";28;1
"Березники";"Пушкинская улица";109;5
"Асбест";"Авиационная улица";111;2
"Бор";"1-я Майская улица";84;4
"Александров";"Стасовой, улица";133;4
"Алексин";"Дружбы, улица";177;3
"Белебей";"Заречная улица";32;5
"Балаково";"Летняя улица";190;1
"Балаково";"Прибрежная улица";188;4
"Великие Луки";"Комсомольский переулок";26;1
"Великие Луки";"2-я Барышевская улица";59;5
"Балаково";"Академическая улица";93;5
"Великие Луки";"Просека, улица";94;1
"Бор";"Сатинская аллея";36;3
"Великие Луки";"Сиреневая улица";71;4
"Бугульма";"3-я Валуевская улица";160;1
"Ангарск";"Прибрежная улица";20;4
"Владивосток";"Комсомольская улица";82;4
"Великий Новгород";"Сыровская улица";115;2
"Анжеро-Судженск";"1-я Майская улица";193;3
"Батайск";"Октябрьская улица";169;1
"Березовский";"Евгения Родионова, улица";77;3
"Борисоглебск";"Орджоникидзе, улица";4;3
"Белебей";"Комсомольская улица";111;3
"Балахна";"Овражная улица";85;2
"Азов";"2-я Валуевская улица";150;1
"Борисоглебск";"4-я Рыбацкая улица";41;5
"Благовещенск";"Совхозная улица";168;5
"Бор";"2-я Вишнёвая улица";35;2
"Барнаул";"Школьная улица";172;4
"Верхняя Пышма";"3-я Пионерская улица";91;5
"Владивосток";"Берёзовая улица";82;2
"Азов";"Симферопольское шоссе";179;3
"Анжеро-Судженск";"Зелёная улица";169;1
"Ачинск";"Чайковского, улица";166;1
"Биробиджан";"Чапаева, улица";64;5
"Белгород";"Лесная улица (поселок Щапово)";77;2
"Анжеро-Судженск";"Новостройка, улица";126;5
"Асбест";"Кленовый переулок";195;2
"Белореченск";"Рождественский переулок";47;2
"Бор";"Трудовая улица";65;5
"Балаково";"Московская улица";6;1
"Александров";"Южная улица";134;3
"Верхняя Пышма";"Городская улица";183;1
"Бузулук";"Сиреневая улица";149;3
"Верхняя Пышма";"1-я Майская улица";162;3
"Балашиха";"1-я Мичуринская улица";77;2
"Буйнакск";"Весенняя улица";54;3
"Альметьевск";"Капитанская улица";41;3
"Бузулук";"Водопроводная улица";50;4
"Балаково";"Гоголя, улица";158;2
"Буйнакск";"Пролетарская улица";125;3
"Бузулук";"Нижняя улица";133;1
"Балашиха";"Подольская улица";33;2
"Борисоглебск";"Комсомольская улица";113;4
"Белово";"2-я Лазурная улица";108;4
"Бийск";"Горка, улица";107;5
"Брянск";"3-я Рыбацкая улица";188;4
"Архангельск";"Мостотреста, улица";2;3
"Биробиджан";"Дальняя улица";44;3
"Белово";"Чайковского, улица";119;3
"Бийск";"Гоголя, улица";17;2
"Белово";"4-й Богородский переулок";152;4
"Балахна";"1-я Валуевская улица";192;4
"Белово";"Трудовая улица";130;1
"Балаково";"Барышевская Роща, улица";143;4
"Абакан";"Светлый бульвар";65;1
"Бийск";"Озёрная улица";111;5
"Бузулук";"3-я Рыбацкая улица";98;3
"Белореченск";"5-я Вишнёвая улица";110;1
"Балаково";"Кирова, улица";26;4
"Бузулук";"Фабричная площадь";157;2
"Балаково";"Трудовая улица";134;2
"Анапа";"Обводная Дорога, улица";140;3
"Великий Новгород";"Ясная улица";53;2
"Брянск";"Садовая улица";95;4
"Белово";"2-я Вишнёвая улица";83;3
"Биробиджан";"1-я Рыбацкая улица";187;1
"Балаково";"Суворова, улица";8;5
"Белогорск";"3-я Барышевская улица";96;4
"Астрахань";"Остафьевская улица";86;2
"Бердск";"Рассветная улица";97;2
"Белорецк";"Генерала Трошева, улица";92;5
"Белгород";"6-я Вишнёвая улица";173;3
"Балашов";"Колхозная улица";142;5
"Боровичи";"Комсомольская улица";73;1
"Анапа";"Маяковского, улица";55;4
"Алексин";"Дачная улица";137;5
"Астрахань";"Симферопольская улица";162;1
"Батайск";"Дорожная улица";21;2
"Архангельск";"Кутузова, улица";104;5
"Белебей";"Толбухина, улица";164;5
"Армавир";"Новостройка, улица";112;3
"Буйнакск";"3-я Вишнёвая улица";18;4
"Астрахань";"Родниковая улица";158;2
"Балашов";"Анны Воиновой, улица";147;4
"Березники";"Русинская Роща, улица";118;4
"Ачинск";"Сиреневый бульвар";194;4
"Березовский";"Подмосковные вечера, улица";37;2
"Благовещенск";"3-я Лазурная улица";98;3
"Биробиджан";"Улица Александровы Пруды";166;3
"Белореченск";"Светлая улица";104;3
"Асбест";"Берёзовая улица (деревня Бурцево)";59;1
"Барнаул";"Стасовой, улица";38;5
"Анапа";"Автомобильная дорога А-107";81;2
"Белореченск";"Берёзовая улица (поселок Марьино)";1;4
"Артем";"2-я Валуевская улица";124;3
"Бузулук";"Быковская улица";38;3
"Брянск";"Железнодорожная улица";73;4
"Верхняя Пышма";"2-я Научная улица";164;4
"Асбест";"Пушкинская улица";41;4
"Асбест";"Октябрьский проспект";151;2
"Ангарск";"Заозёрная улица";21;3
"Березовский";"Кирова, улица";12;2
"Азов";"Дзержинского, улица";68;3
"Владивосток";"Парковая улица";142;2
"Балашиха";"Железнодорожная улица";137;4
"Арзамас";"Лагерный переулок";168;5
"Белгород";"Песчаная улица";56;3
"Армавир";"Пионерский проезд";130;2
"Бугульма";"Садовая улица";37;2
"Арзамас";"Ломоносова, улица";141;2
"Белорецк";"Остафьевское шоссе";44;5
"Асбест";"Теннисная улица";120;3
"Великий Новгород";"Дзержинского, улица";6;4
"Алексин";"Энгельса, улица";1;5
"Буйнакск";"Учительский переулок";52;2
"Алексин";"2-я Валуевская улица";187;4
"Белово";"Красноармейская улица";159;5
"Белогорск";"Озёрная улица";40;5
"Арсеньев";"Родниковая улица";191;2
"Азов";"Спортивная улица";34;3
"Архангельск";"Генерала Трошева, улица";177;1
"Березники";"Остафьевская улица";175;2
"Биробиджан";"Дзержинского, улица";153;3
"Белореченск";"Обводная Дорога, улица";20;2
"Биробиджан";"Центральная улица";151;5
"Белогорск";"2-я Центральная улица";168;3
"Белебей";"Школьная улица";44;3
"Благовещенск";"Сиреневый бульвар";27;5
"Ачинск";"Академическая площадь";148;5
"Апатиты";"Лесная улица (поселок Щапово)";137;2
"Буденновск";"Щербинский проезд";156;5
"Ангарск";"Физическая улица";32;3
"Буйнакск";"Живописная улица";186;3
"Видное";"Песчаная улица";101;3
"Азов";"Капитанская улица";108;5
"Видное";"Маршала Кутахова, улица";70;1
"Анапа";"Ломоносова, улица";119;1
"Балашов";"Чехова, улица";121;1
"Апатиты";"2-я Валуевская улица";102;4
"Братск";"Бутовское Кольцо, улица";27;2
"Балашиха";"Западная улица";104;2
"Балахна";"Тимирязева, улица";47;1
"Ачинск";"Рабочая улица";97;2
"Боровичи";"Заводская улица";198;1
"Балашов";"Автомобильная дорога А-107";59;2
"Александров";"Южная улица";88;1
"Братск";"Пушковых, улица";110;1
"Буденновск";"Новая улица";36;3
"Видное";"Люблинская улица";155;3
"Асбест";"Евгения Родионова, улица";139;1
"Архангельск";"Колхозная улица";185;4
"Биробиджан";"Пушкинская улица";168;1
"Бор";"7-я Вишнёвая улица";43;3
"Белогорск";"Красная улица";86;5
"Борисоглебск";"Летняя улица";121;2
"Александров";"8-я Вишнёвая улица";117;4
"Бийск";"Анны Воиновой, улица";179;2
"Буйнакск";"6-й Кленовый переулок";5;1
"Брянск";"Прибрежная улица";122;2
"Верхняя Пышма";"1-я Валуевская улица";110;2
"Бердск";"Чкалова, улица";43;4
"Артем";"Генерала Трошева, улица";41;1
"Буденновск";"3-я Майская улица";13;5
"Балашиха";"Сыровская улица";50;1
"Белореченск";"Авиаторов, улица";28;4
"Арсеньев";"Лесхозная улица";110;2
"Анапа";"Остафьевское шоссе";90;5
"Великие Луки";"Пушкинская улица";174;5
"Батайск";"Остафьевская улица";38;2
"Батайск";"3-я Вишнёвая улица";172;5
"Апатиты";"Советская улица";8;1
"Астрахань";"Дружбы, улица";21;1
"Братск";"Тихая улица";36;3
"Биробиджан";"Героя России Чернышёва, улица";61;1
"Астрахань";"3-я Лазурная улица";114;2
"Апатиты";"Летняя улица";182;2
"Анапа";"Южный квартал";53;2
"Бузулук";"Овражная улица";99;3
"Балахна";"3-я Пионерская улица";103;1
"Верхняя Пышма";"Сорок Лет Октября, улица";123;3
"Буденновск";"Гоголя, улица";104;5
"Артем";"Быковская улица";138;3
"Асбест";"3-я Рыбацкая улица";98;1
"Апатиты";"2-й Богородский переулок";164;2
"Балашиха";"Богородская улица";68;5
"Алексин";"3-й Богородский переулок";113;2
"Великий Новгород";"Авиационная улица";41;4
"Березовский";"Генерала Максимчука, улица";187;3
"Армавир";"Люблинская улица";47;4
"Борисоглебск";"Академическая площадь";114;5
"Буденновск";"Солнечная улица";110;1
"Алексин";"Бутовский тупик";34;3
"Буденновск";"Чехова, улица";72;5
"Березники";"Толбухина, улица";116;5
"Брянск";"Барышевская улица";118;1
"Ангарск";"Михаила Кондакова, улица";53;4
"Архангельск";"Южный квартал";103;2
"Белебей";"Комсомольский проезд";193;1
"Великие Луки";"Дальняя улица";17;3
"Биробиджан";"Сатинская аллея";68;2
"Брянск";"Лесная улица (поселок Щапово)";61;2
"Буденновск";"Зелёная улица";101;2
"Бердск";"4-я Майская улица";190;1
"Белово";"Толбухина, улица";79;1
"Балаково";"Трудовая улица";105;3
"Брянск";"Кутузова, улица";195;2
"Барнаул";"Улица Александровы Пруды";115;1
"Белгород";"Рыбацкий переулок";185;4
"Алексин";"Кленовый переулок";63;4
"Армавир";"Пушкинская улица";193;3
"Балашиха";"Северная улица";65;4
"Белорецк";"Светлая улица";79;3
"Ангарск";"Улица Александровы Пруды";165;3
"Артем";"Флотская улица";60;1
"Боровичи";"Вокзальная улица";11;2
"Белогорск";"Рождественский переулок";86;3
"Березники";"Луговая улица";41;5
"Батайск";"Луговая улица";182;3
"Благовещенск";"Лесная улица (поселок Курилово)";12;4
"Боровичи";"Солнечная улица";2;2
"Верхняя Пышма";"Нагорная улица";164;2
"Барнаул";"Лагерный переулок";113;1
"Белорецк";"Московский переулок";63;3
"Балашиха";"Цветочная улица";132;4
"Видное";"Комсомольская улица";62;3
"Архангельск";"Лесхозная улица";119;5
"Биробиджан";"2-я Майская улица";93;3
"Альметьевск";"Симферопольское шоссе";1;4
"Великий Новгород";"4-я Валуевская улица";173;3
"Бугульма";"Пушкинская улица";61;3
"Арсеньев";"Московский переулок";181;3
"Видное";"Симферопольское шоссе";22;5
"Березники";"1-я Валуевская улица";184;3
"Азов";"Герцена, улица";105;2
"Армавир";"Луговая улица";4;1
"Асбест";"Громова, улица";158;3
"Батайск";"3-й Кленовый переулок";31;3
"Березовский";"3-я Майская улица";147;3
"Благовещенск";"2-я Валуевская улица";86;2
"Белебей";"Кирова, улица";65;4
"Бузулук";"Котовского, улица";141;2
"Астрахань";"Озёрная улица";48;1
"Балахна";"Академическая улица";117;3
"Балашиха";"8-я Вишнёвая улица";17;4
"Белогорск";"Светлый бульвар";169;2
"Биробиджан";"Ягодная улица";4;5
"Бийск";"Светлый бульвар";67;4
"Алексин";"Мирная улица";52;5
"Белгород";"1-я Мичуринская улица";41;3
"Брянск";"Филимонковская улица";163;2
"Биробиджан";"Рабочая улица";31;2
"Бийск";"Живописная улица";66;4
"Балахна";"Симферопольская улица";73;5
"Белгород";"2-я Мичуринская улица";149;4
"Анжеро-Судженск";"Дорожная улица";154;5
"Анжеро-Судженск";"Садовый квартал, улица";181;3
"Белореченск";"Чайковского, улица";60;5
"Балахна";"Барышевская Роща, улица";161;3
"Борисоглебск";"Водопроводная улица";31;1
"Благовещенск";"Заречная улица";196;1
"Батайск";"Советская улица";79;1
"Анапа";"Большая Октябрьская улица";103;2
"Брянск";"Комсомольский переулок";117;1
"Буйнакск";"Быковская улица";39;3
"Балашов";"Богородская улица";33;2
"Батайск";"Центральная улица";155;5
"Белореченск";"2-я Мичуринская улица";191;1
"Бийск";"Парковый переулок";175;1
"Арзамас";"Андреевская улица";41;3
"Боровичи";"3-я Лазурная улица";115;4
"Великие Луки";"Берёзовая улица (поселок Марьино)";63;3
"Бийск";"Зелёная улица";6;3
"Александров";"Юбилейная улица";3;2
"Ангарск";"Академика Верещагина, площадь";46;3
"Арсеньев";"Фабричная площадь";184;3
"Бийск";"Первомайская улица";51;3
"Брянск";"Водопроводная улица";35;4
"Балашов";"Ново-Западная улица";144;3
"Ачинск";"Железнодорожная улица";8;2
"Великие Луки";"Академическая улица";67;5
"Артем";"Зелёная улица";158;4
"Балахна";"Полковника милиции Курочкина, улица";26;1
"Ангарск";"2-я Вишнёвая улица";146;2
"Арзамас";"Западная улица";131;5
"Ангарск";"Гоголя, улица";110;1
"Балашиха";"Бутовское Кольцо, улица";103;5
"Анапа";"Михаила Кондакова, улица";118;2
"Борисоглебск";"Котовского, улица";79;3
"Белореченск";"Генерала Трошева, улица";66;1
"Балашов";"Дачная улица";151;1
"Армавир";"Лесная улица (поселок Щапово)";38;3
"Абакан";"Звёздная улица";23;4
"Альметьевск";"Колобенка, улица";118;1
"Благовещенск";"Живописная улица";117;4
"Анапа";"Физическая улица";74;1
"Видное";"Энгельса, улица";56;5
"Бор";"Маяковского, улица";139;5
"Великий Новгород";"1-й Терновый переулок";110;4
"Буденновск";"3-я Рыбацкая улица";48;4
"Астрахань";"Подольская улица";9;5
"Брянск";"1-я Пионерская улица";12;2
"Белорецк";"Большая Октябрьская улица";33;5
"Балашов";"Партизанская улица";78;3
"Ачинск";"Чкалова, улица";144;5
"Белово";"Берёзовая улица (поселок Марьино)";29;2
"Белореченск";"Капитанская улица";71;5
"Алексин";"Овражная улица";76;2
"Батайск";"Дорожная улица";89;4
"Верхняя Пышма";"Быковская улица";77;1
"Балашов";"Партизанская улица";138;5
"Биробиджан";"Заозёрная улица";126;3
"Белогорск";"Юбилейная улица";92;3
"Белогорск";"Подмосковные вечера, улица";16;3
"Белебей";"Рождественский переулок";127;4
"Балашиха";"Дошкольная улица";46;4
"Астрахань";"Лесная улица (поселок Щапово)";182;4
"Белогорск";"Комсомольская улица";137;5
"Архангельск";"Садовый Квартал, улица";172;5
"Видное";"Калужское шоссе";166;2
"Ангарск";"Прибрежная улица";70;3
"Брянск";"2-я Катерная улица";25;1
"Асбест";"Симферопольское шоссе";198;5
"Алексин";"Чехова, улица";31;5
"Архангельск";"3-я Лазурная улица";143;5
"Анжеро-Судженск";"Дачная улица";40;5
"Белебей";"Учительский переулок";109;4
"Владивосток";"4-я Майская улица";91;5
"Асбест";"Чапаева, улица";131;1
"Альметьевск";"2-я Пионерская, улица";142;1
"Белореченск";"4-й Заречный переулок";44;4
"Азов";"Стасова, улица";94;2
"Белорецк";"Южный квартал";69;1
"Видное";"Садовая улица";143;3
"Арсеньев";"Софийская улица";165;1
"Артем";"Промышленная улица";188;4
"Бор";"Софийская улица";155;5
"Белово";"Летняя улица";196;5
"Анапа";"Подольская улица";36;5
"Балахна";"Южная улица";28;2
"Барнаул";"Сорок Лет Октября, улица";66;5
"Азов";"3-я Пионерская улица";110;4
"Видное";"Новая улица";197;4
"Бердск";"Генерала Трошева, улица";45;2
"Анжеро-Судженск";"Красная улица";104;4
"Белорецк";"Советская улица";15;3
"Великий Новгород";"2-я Майская улица";114;5
"Белгород";"Лесная улица (поселок Курилово)";89;4
"Ангарск";"Почтовая улица";17;2
"Буйнакск";"Фруктовая улица";74;5
"Белогорск";"Заречная улица";123;1
"Ангарск";"Урожайная улица";18;4
"Бердск";"Ягодная улица";26;3
"Белогорск";"Нагорная улица";119;1
"Видное";"Институтская улица";135;5
"Благовещенск";"Подольская улица";66;5
"Великий Новгород";"Колобенка, улица";93;5
"Братск";"Центральная улица";189;2
"Боровичи";"Северная улица";29;5
"Видное";"5-я Вишнёвая улица";187;1
"Белгород";"Симферопольское шоссе";103;4
"Белорецк";"Академическая улица";79;4
"Абакан";"Кирова, улица";37;4
"Владивосток";"1-я Барышевская улица";145;4
"Биробиджан";"Лермонтова, улица";28;5
"Брянск";"Комсомольский проезд";111;1
"Альметьевск";"Евгения Родионова, улица";102;3
"Борисоглебск";"Южный квартал";93;4
"Абакан";"Флотская улица";56;3
"Брянск";"Орджоникидзе, улица";57;2
"Балашов";"1-я Катерная улица";63;1
"Абакан";"Анны Воиновой, улица";135;1
"Азов";"Кленовый переулок";21;4
"Бердск";"Песчаная улица";23;2
"Балахна";"Школьная улица";182;3
"Астрахань";"Авиаторов, улица";96;4
"Александров";"6-й Кленовый переулок";76;1
"Бердск";"Академическая улица";188;4
"Армавир";"Нижняя улица";132;3
"Владивосток";"Барыши, местечко";150;5
"Брянск";"8-я Вишнёвая улица";189;3
"Березовский";"Высотная улица";157;3
"Балаково";"Суворова, улица";89;1
"Батайск";"Михаила Кондакова, улица";140;2
"Белогорск";"Пролетарская улица";186;5
"Бор";"Нагорная улица";11;3
"Ангарск";"Урожайная улица";108;4
"Биробиджан";"Евгения Родионова, улица";32;1
"Батайск";"Водопроводная улица";161;2
"Брянск";"Маршала Кутахова, улица";15;1
"Балашов";"Живописная улица";103;1
"Армавир";"Институтская улица";165;2
"Бузулук";"Школьная улица";67;5
"Анапа";"Пушкинская улица";55;2
"Буденновск";"Флотская улица";63;1
"Ачинск";"Дачная улица";163;3
"Бор";"Пионерская улица";82;3
"Апатиты";"Киевское шоссе";89;4
"Бузулук";"2-я Рыбацкая улица";193;2
"Братск";"Дальняя улица";42;5
"Архангельск";"Цветочная улица";166;3
"Белогорск";"Новая улица";16;5
"Буйнакск";"8-я Вишнёвая улица";118;1
"Балаково";"Овражная улица";34;1
"Бор";"Маршала Кутахова, улица";133;2
"Анапа";"Симферопольское шоссе";29;1
"Белогорск";"7-я Вишнёвая улица";78;4
"Азов";"Евгения Родионова, улица";54;1
"Борисоглебск";"Весенняя улица";103;3
"Бийск";"Громова, улица";180;4
"Ачинск";"1-я Барышевская улица";160;3
"Великий Новгород";"Институтская улица";171;3
"Владивосток";"Западная улица";51;5
"Бор";"Новостроевская улица";86;1
"Асбест";"Живописная улица";85;4
"Александров";"Русинская Роща, улица";120;2
"Владивосток";"Заозёрная улица";157;2
"Балаково";"Сиреневая улица";127;4
"Александров";"Мирная улица";7;2
"Березовский";"Энгельса, улица";146;2
"Верхняя Пышма";"Южный квартал";157;4
"Белгород";"Кооперативная улица";192;5
"Архангельск";"Русинская Роща, улица";183;1
"Борисоглебск";"Комсомольский проезд";179;2
"Батайск";"Тихая улица";180;2
"Белореченск";"Барышевская Роща, улица";172;1
"Азов";"3-я Барышевская улица";103;4
"Арзамас";"Текстильщиков, улица";154;1
"Березовский";"Герцена, улица";190;3
"Альметьевск";"Тимирязева, улица";50;5
"Астрахань";"2-я Рыбацкая улица";109;5
"Асбест";"Варшавское шоссе";176;4
"Анжеро-Судженск";"2-я Центральная улица";197;2
"Балахна";"Пушкинская улица";161;5
"Арсеньев";"Северная улица";127;1
"Бор";"3-й Богородский переулок";19;5
"Видное";"Остафьевское шоссе";20;3
"Белорецк";"Рыбацкий переулок";147;5
"Барнаул";"Заречная улица";12;3
"Архангельск";"Светлая улица";1;1
"Буденновск";"Авиационная улица";138;5
"Великий Новгород";"Изумрудная улица";123;1
"Биробиджан";"Орджоникидзе, улица";144;4
"Альметьевск";"Быковская улица";163;1
"Бугульма";"Новостройка, улица";126;1
"Березники";"Дальняя улица";20;2
"Биробиджан";"Советская улица";85;2
"Александров";"2-я Лазурная улица";79;5
"Анапа";"2-я Научная улица";27;4
"Биробиджан";"Октябрьский проспект";21;4
"Белебей";"7-я Вишнёвая улица";83;1
"Владивосток";"Кутузова, улица";182;5
"Верхняя Пышма";"2-я Майская улица";15;3
"Ангарск";"Евгения Родионова, улица";23;5
"Белогорск";"Лесхозная улица";72;1
"Березовский";"Чкалова, улица";148;2
"Белгород";"5-я Майская улица";134;3
"Балашов";"Пушкинская улица";155;2
"Анапа";"2-я Катерная улица";84;2
"Белореченск";"Симферопольская улица";45;5
"Бугульма";"Железнодорожная улица";180;1
"Белорецк";"Учительский переулок";37;1
"Братск";"2-я Изумрудная улица";30;4
"Александров";"Звёздная улица";62;4
"Борисоглебск";"3-я Лазурная улица";75;3
"Артем";"Рассветная улица";80;5
"Батайск";"Южная улица";101;3
"Белебей";"1-я Майская улица";88;3
"Бор";"Герцена, улица";9;3
"Ачинск";"Авиаторов, улица";31;3
"Братск";"Учительский переулок";181;2
"Балашиха";"Октябрьский проспект";31;1
"Буйнакск";"Урожайная улица";150;4
"Буйнакск";"6-я Вишнёвая улица";182;4
"Барнаул";"Кутузова, улица";178;2
"Белгород";"Горка, улица";77;4
"Боровичи";"Анатолия Харлампиева, улица";86;2
"Буйнакск";"Осенняя улица";19;2
"Альметьевск";"4-й Заречный переулок";5;2
"Алексин";"Цветочная улица";1;2
"Армавир";"3-я Рыбацкая улица";195;2
"Арзамас";"Мостотреста, улица";129;5
"Альметьевск";"3-я Барышевская улица";134;1
"Балаково";"Толбухина, улица";198;5
"Балахна";"2-я Центральная улица";115;2
"Анапа";"Лагерный переулок";29;5
"Артем";"1-я Центральная улица";115;5
"Бузулук";"Светлая улица";104;2
"Ангарск";"Тимирязева, улица";178;1
"Боровичи";"Юбилейная улица";142;1
"Великий Новгород";"Парковый переулок";99;5
"Борисоглебск";"Филимонковская улица";196;3
"Алексин";"Светлая улица";39;4
"Балаково";"Высотная улица";24;5
"Азов";"Почтовая улица";56;2
"Белово";"Симферопольское шоссе";110;4
"Азов";"Космонавтов, улица";90;4
"Александров";"Садовая улица";81;1
"Великий Новгород";"Индустриальная улица";50;3
"Бузулук";"Анатолия Харлампиева, улица";196;3
"Александров";"Остафьевское шоссе";47;4
"Барнаул";"Вокзальная улица";122;1
"Борисоглебск";"Котовского, улица";50;5
"Апатиты";"Кооперативная улица";140;2
"Боровичи";"Космонавтов, улица";181;5
"Анжеро-Судженск";"Берёзовая улица";107;4
"Азов";"2-я Катерная улица";155;4
"Белорецк";"Академическая площадь";83;1
"Алексин";"Институтская улица";26;4
"Асбест";"1-я Мичуринская улица";141;4
"Арзамас";"Первомайская улица";94;2
"Барнаул";"1-я Пионерская улица";151;2
"Балашиха";"Пролетарская улица";88;1
"Бийск";"Автомобильная дорога А-107";130;2
"Алексин";"Советская улица";50;1
"Арзамас";"4-я Майская улица";153;2
"Алексин";"Берёзовая улица (деревня Бурцево)";119;4
"Бузулук";"Светлая улица";38;1
"Ачинск";"2-я Научная улица";137;4
"Белебей";"Светлая улица";54;5
"Братск";"СНТ Волна, улица";27;4
"Александров";"Большая Октябрьская улица";199;4
"Ачинск";"Улица Александровы Пруды";117;1
"Белгород";"Пионерская улица";146;4
"Арзамас";"Комсомольская улица";190;3
"Биробиджан";"Фабричная площадь";98;4
"Березовский";"Щербинский проезд";134;2
"Ангарск";"Просека, улица";183;5
"Бердск";"Ново-Западная улица";163;1
"Алексин";"1-я Катерная улица";154;5
"Бугульма";"Суворова, улица";33;5
"Астрахань";"Лесная улица";27;4
"Буйнакск";"Рабочая улица";156;3
"Апатиты";"Вишнёвая улица";1;4
"Анапа";"Ломоносова, улица";77;5
"Борисоглебск";"Парковая улица";199;1
"Великий Новгород";"Почтовая улица";104;1
"Благовещенск";"Прибрежная улица";154;3
"Березники";"Промышленная улица";52;5
"Белореченск";"Авиационная улица";90;4
"Анжеро-Судженск";"1-я Барышевская улица";63;2
"Буденновск";"Генерала Трошева, улица";3;2
"Белорецк";"Дружбы, улица";174;2
"Альметьевск";"Лесная улица";145;5
"Братск";"4-я Вишнёвая улица";118;1
"Березники";"Ново-Западная улица";188;2
"Буйнакск";"Трудовая улица";192;2
"Азов";"Светлый бульвар";114;3
"Буйнакск";"Прудовая улица";125;1
"Белово";"Колхозная улица";199;4
"Асбест";"Советская улица";142;1
"Бузулук";"Подольская улица";92;1
"Анапа";"Юбилейная улица";72;5
"Буденновск";"1-й Терновый переулок";173;5
"Абакан";"Цветочная улица";99;4
"Владивосток";"3-я Вишнёвая улица";46;5
"Балашов";"1-я Мичуринская улица";67;2
"Ачинск";"Заречная улица";52;3
"Буденновск";"Космонавтов, улица";11;5
"Барнаул";"Горка, улица";42;2
"Белорецк";"3-я Вишнёвая улица";116;5
"Арзамас";"Сиреневая улица";19;2
"Астрахань";"4-я Валуевская улица";148;2
"Азов";"Зелёная улица";109;1
"Армавир";"1-й Терновый переулок";20;2
"Белебей";"Садовый Квартал, улица";83;2
"Борисоглебск";"4-й Богородский переулок";14;2
"Балашиха";"Барышевская Роща, улица";46;5
"Буденновск";"Берёзовая улица (поселок Марьино)";55;5
"Белореченск";"1-я Майская улица";13;3
"Белово";"2-я Рыбацкая улица";115;3
"Бузулук";"Котовского, улица";98;4
"Великие Луки";"Летняя улица";149;5
"Бугульма";"Михаила Кондакова, улица";110;3
"Владивосток";"2-я Лазурная улица";97;1
"Владивосток";"Пионерский проезд";38;3
"Асбест";"Генерала Трошева, улица";171;1
"Братск";"Ясная улица";185;4
"Бор";"Июльская улица";4;1
"Анжеро-Судженск";"4-я Вишнёвая улица";113;3
"Астрахань";"Железнодорожная улица";41;1
"Балахна";"Киевское шоссе";68;1
"Азов";"Барышевская улица";18;3
"Бугульма";"1-я Валуевская улица";101;3
"Алексин";"Чайковского, улица";122;5
"Ангарск";"Лесная улица (поселок Щапово)";179;3
"Белорецк";"Космонавтов, улица";97;3
"Брянск";"Калужское шоссе";27;5
"Асбест";"3-я Валуевская улица";18;4
